      time         0         1         2
  0.371000  0.040165  0.366990  0.283269
  0.372750  0.040113  0.365580  0.282668
  0.374500  0.040062  0.364177  0.282071
  0.376250  0.040012  0.362780  0.281478
  0.378000  0.039963  0.361390  0.280889
  0.379750  0.039915  0.360006  0.280304
  0.381500  0.039869  0.358628  0.279723
  0.383250  0.039823  0.357257  0.279146
  0.385000  0.039778  0.355892  0.278573
  0.386750  0.039734  0.354533  0.278005
  0.388500  0.039691  0.353180  0.277440
  0.390250  0.039650  0.351834  0.276879
  0.392000  0.039609  0.350493  0.276322
  0.393750  0.039569  0.349159  0.275768
  0.395500  0.039530  0.347831  0.275219
  0.397250  0.039493  0.346509  0.274673
  0.399000  0.039456  0.345193  0.274132
  0.400750  0.039420  0.343882  0.273594
  0.402500  0.039385  0.342578  0.273060
  0.404250  0.039351  0.341280  0.272529
  0.406000  0.039318  0.339988  0.272003
  0.407750  0.039286  0.338701  0.271480
  0.409500  0.039255  0.337420  0.270961
  0.411250  0.039225  0.336146  0.270445
  0.413000  0.039196  0.334877  0.269934
  0.414750  0.039168  0.333613  0.269426
  0.416500  0.039141  0.332356  0.268921
  0.418250  0.039114  0.331104  0.268420
  0.420000  0.039089  0.329857  0.267923
  0.421750  0.039065  0.328617  0.267429
  0.423500  0.039041  0.327382  0.266939
  0.425250  0.039019  0.326152  0.266453
  0.427000  0.038997  0.324929  0.265970
  0.428750  0.038976  0.323710  0.265490
  0.430500  0.038957  0.322497  0.265014
  0.432250  0.038938  0.321290  0.264541
  0.434000  0.038920  0.320088  0.264072
  0.435750  0.038903  0.318892  0.263607
  0.437500  0.038886  0.317700  0.263144
  0.439250  0.038871  0.316515  0.262686
  0.441000  0.038857  0.315334  0.262230
  0.442750  0.038843  0.314159  0.261778
  0.444500  0.038831  0.312989  0.261329
  0.446250  0.038819  0.311825  0.260884
  0.448000  0.038808  0.310665  0.260442
  0.449750  0.038798  0.309511  0.260003
  0.451500  0.038789  0.308362  0.259568
  0.453250  0.038781  0.307219  0.259136
  0.455000  0.038774  0.306080  0.258707
  0.456750  0.038768  0.304946  0.258281
  0.458500  0.038762  0.303818  0.257859
  0.460250  0.038757  0.302694  0.257439
  0.462000  0.038754  0.301576  0.257023
  0.463750  0.038751  0.300463  0.256611
  0.465500  0.038749  0.299354  0.256201
  0.467250  0.038748  0.298251  0.255794
  0.469000  0.038747  0.297152  0.255391
  0.470750  0.038748  0.296059  0.254991
  0.472500  0.038749  0.294970  0.254594
  0.474250  0.038752  0.293886  0.254200
  0.476000  0.038755  0.292807  0.253809
  0.477750  0.038759  0.291733  0.253421
  0.479500  0.038764  0.290663  0.253036
  0.481250  0.038770  0.289599  0.252654
  0.483000  0.038776  0.288539  0.252275
  0.484750  0.038784  0.287484  0.251900
  0.486500  0.038792  0.286433  0.251527
  0.488250  0.038801  0.285387  0.251157
  0.490000  0.038811  0.284346  0.250790
  0.491750  0.038822  0.283310  0.250426
  0.493500  0.038833  0.282278  0.250066
  0.495250  0.038846  0.281250  0.249707
  0.497000  0.038859  0.280227  0.249352
  0.498750  0.038874  0.279209  0.249000
  0.500500  0.038889  0.278195  0.248651
  0.502250  0.038904  0.277186  0.248304
  0.504000  0.038921  0.276181  0.247961
  0.505750  0.038939  0.275181  0.247620
  0.507500  0.038957  0.274185  0.247282
  0.509250  0.038976  0.273194  0.246947
  0.511000  0.038996  0.272207  0.246615
  0.512750  0.039017  0.271224  0.246285
  0.514500  0.039039  0.270246  0.245959
  0.516250  0.039062  0.269272  0.245635
  0.518000  0.039085  0.268302  0.245313
  0.519750  0.039109  0.267336  0.244995
  0.521500  0.039135  0.266375  0.244679
  0.523250  0.039160  0.265418  0.244366
  0.525000  0.039187  0.264466  0.244056
  0.526750  0.039215  0.263517  0.243748
  0.528500  0.039243  0.262573  0.243443
  0.530250  0.039273  0.261632  0.243141
  0.532000  0.039303  0.260696  0.242841
  0.533750  0.039334  0.259765  0.242544
  0.535500  0.039365  0.258837  0.242250
  0.537250  0.039398  0.257913  0.241958
  0.539000  0.039431  0.256993  0.241669
  0.540750  0.039466  0.256078  0.241383
  0.542500  0.039501  0.255166  0.241099
  0.544250  0.039537  0.254259  0.240818
  0.546000  0.039574  0.253355  0.240539
  0.547750  0.039611  0.252455  0.240263
  0.549500  0.039650  0.251560  0.239989
  0.551250  0.039689  0.250668  0.239718
  0.553000  0.039729  0.249780  0.239449
  0.554750  0.039770  0.248896  0.239183
  0.556500  0.039812  0.248016  0.238919
  0.558250  0.039854  0.247140  0.238658
  0.560000  0.039898  0.246267  0.238399
  0.561750  0.039942  0.245399  0.238143
  0.563500  0.039987  0.244534  0.237890
  0.565250  0.040033  0.243673  0.237638
  0.567000  0.040080  0.242816  0.237389
  0.568750  0.040128  0.241963  0.237143
  0.570500  0.040176  0.241113  0.236899
  0.572250  0.040226  0.240267  0.236657
  0.574000  0.040276  0.239424  0.236418
  0.575750  0.040327  0.238586  0.236181
  0.577500  0.040379  0.237751  0.235947
  0.579250  0.040432  0.236920  0.235714
  0.581000  0.040485  0.236092  0.235485
  0.582750  0.040540  0.235268  0.235257
  0.584500  0.040595  0.234447  0.235032
  0.586250  0.040651  0.233630  0.234809
  0.588000  0.040708  0.232817  0.234589
  0.589750  0.040766  0.232007  0.234371
  0.591500  0.040825  0.231201  0.234155
  0.593250  0.040884  0.230398  0.233941
  0.595000  0.040945  0.229599  0.233730
  0.596750  0.041006  0.228803  0.233521
  0.598500  0.041068  0.228011  0.233314
  0.600250  0.041131  0.227222  0.233109
  0.602000  0.041195  0.226436  0.232907
  0.603750  0.041260  0.225654  0.232707
  0.605500  0.041326  0.224876  0.232509
  0.607250  0.041392  0.224100  0.232314
  0.609000  0.041460  0.223328  0.232120
  0.610750  0.041528  0.222560  0.231929
  0.612500  0.041597  0.221795  0.231740
  0.614250  0.041667  0.221033  0.231553
  0.616000  0.041738  0.220274  0.231368
  0.617750  0.041810  0.219519  0.231185
  0.619500  0.041882  0.218767  0.231005
  0.621250  0.041956  0.218018  0.230827
  0.623000  0.042030  0.217272  0.230650
  0.624750  0.042105  0.216530  0.230476
  0.626500  0.042182  0.215791  0.230304
  0.628250  0.042259  0.215055  0.230135
  0.630000  0.042337  0.214322  0.229967
  0.631750  0.042416  0.213593  0.229801
  0.633500  0.042495  0.212866  0.229638
  0.635250  0.042576  0.212143  0.229476
  0.637000  0.042658  0.211423  0.229317
  0.638750  0.042740  0.210706  0.229159
  0.640500  0.042823  0.209992  0.229004
  0.642250  0.042908  0.209281  0.228851
  0.644000  0.042993  0.208573  0.228699
  0.645750  0.043079  0.207868  0.228550
  0.647500  0.043166  0.207167  0.228403
  0.649250  0.043254  0.206468  0.228258
  0.651000  0.043343  0.205772  0.228114
  0.652750  0.043433  0.205080  0.227973
  0.654500  0.043524  0.204390  0.227834
  0.656250  0.043615  0.203703  0.227697
  0.658000  0.043708  0.203020  0.227561
  0.659750  0.043801  0.202339  0.227428
  0.661500  0.043896  0.201661  0.227297
  0.663250  0.043991  0.200986  0.227167
  0.665000  0.044088  0.200314  0.227040
  0.666750  0.044185  0.199645  0.226914
  0.668500  0.044283  0.198978  0.226790
  0.670250  0.044383  0.198315  0.226669
  0.672000  0.044483  0.197654  0.226549
  0.673750  0.044584  0.196997  0.226431
  0.675500  0.044686  0.196342  0.226315
  0.677250  0.044789  0.195690  0.226201
  0.679000  0.044893  0.195040  0.226089
  0.680750  0.044998  0.194394  0.225978
  0.682500  0.045104  0.193750  0.225870
  0.684250  0.045211  0.193109  0.225763
  0.686000  0.045319  0.192471  0.225658
  0.687750  0.045428  0.191835  0.225556
  0.689500  0.045538  0.191203  0.225454
  0.691250  0.045649  0.190572  0.225355
  0.693000  0.045761  0.189945  0.225258
  0.694750  0.045874  0.189320  0.225162
  0.696500  0.045988  0.188698  0.225068
  0.698250  0.046103  0.188079  0.224976
  0.700000  0.046219  0.187462  0.224886
  0.701750  0.046336  0.186848  0.224798
  0.703500  0.046454  0.186237  0.224711
